,count,mean,std,min,25%,50%,75%,max
price_change,186743.0,-0.0005367189131587167,0.04837280701603459,-0.3099999999999999,-0.0234999999999999,-0.0005,0.0245,0.2244999999999999
whale_int,186743.0,0.0022812100051943043,0.04770763328950972,0.0,0.0,0.0,0.0,1.0
sentiment_compound,186743.0,0.02476880525642193,0.46538796096758134,-0.9996,-0.3182,0.0,0.4019,1.0
log_market_volume,186743.0,9.06573677381133,0.20956953881268411,7.121445341124846,9.01579513873534,9.01579513873534,9.185111126714713,9.185111126714713
position_usd,186743.0,302.09204123085203,13077.094612491817,0.0,0.0,0.0,0.0,1483123.1381
log_position,514.0,4.443087668501733,0.969546050029343,1.001426137268177,4.436608643604353,4.467755717993892,4.8756011394386745,6.171177210352209
