timestamp,price,token_id,outcome
2023-11-19 00:00:03+00:00,0.925,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-11-19 00:00:03+00:00,0.075,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-11-21 12:00:03+00:00,0.075,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-11-21 12:00:03+00:00,0.925,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-11-24 00:00:02+00:00,0.16,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-11-24 00:00:02+00:00,0.84,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-11-26 12:00:02+00:00,0.135,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-11-26 12:00:02+00:00,0.865,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-11-29 00:00:02+00:00,0.885,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-11-29 00:00:02+00:00,0.115,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-01 12:00:02+00:00,0.115,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-01 12:00:02+00:00,0.885,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-04 00:00:02+00:00,0.105,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-04 00:00:02+00:00,0.895,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-06 12:00:02+00:00,0.825,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-06 12:00:02+00:00,0.175,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-09 00:00:02+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-09 00:00:02+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-11 12:00:03+00:00,0.87,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-11 12:00:03+00:00,0.13,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-14 00:00:02+00:00,0.11,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-14 00:00:02+00:00,0.89,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-16 12:00:02+00:00,0.89,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-16 12:00:02+00:00,0.11,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-19 00:00:02+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-19 00:00:02+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-21 12:00:03+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-21 12:00:03+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-24 00:00:02+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-24 00:00:02+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-26 12:00:02+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-26 12:00:02+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-29 00:00:02+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-29 00:00:02+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2023-12-31 12:00:02+00:00,0.165,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2023-12-31 12:00:02+00:00,0.835,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-03 00:00:02+00:00,0.845,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-03 00:00:02+00:00,0.155,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-05 12:00:03+00:00,0.905,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-05 12:00:03+00:00,0.095,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-08 00:00:02+00:00,0.89,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-08 00:00:02+00:00,0.11,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-10 12:00:03+00:00,0.87,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-10 12:00:03+00:00,0.13,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-13 00:00:02+00:00,0.1,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-13 00:00:02+00:00,0.9,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-15 12:00:02+00:00,0.11,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-15 12:00:02+00:00,0.89,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-18 00:00:02+00:00,0.895,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-18 00:00:02+00:00,0.105,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-20 12:00:03+00:00,0.89,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-20 12:00:03+00:00,0.11,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-23 00:00:03+00:00,0.9,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-23 00:00:03+00:00,0.1,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-25 12:00:02+00:00,0.1,55587534433102763859032443585846918727132208718352714378810158969375734322181,YES
2024-01-25 12:00:02+00:00,0.9,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
2024-01-28 00:00:02+00:00,0.885,111837615529992437689409005124251998174169394377496834222265889069615714482973,NO
